Address,Longitude,Latitude,Description
"134 Pasir Ris Street 11, Singapore 510134",1.3651088,103.9563895,Test1
"7 Loyang Way 4, Singapore 506921",1.379673,103.9778259,Test2
"2 Andover Road, Changi Beach Club, Singapore 509984",1.3905114,103.9750442,Test3
"51 Soon Lee Road, Singapore 628088",1.3325278,103.6987526,Test4
"10 Eunos Road 8, Singapore 408600",1.3188527,103.8946625,Test5
"54 Serangoon Garden Way, Singapore 555950",1.3639155,103.8665831,Test6
"2 Sengkang Square, Singapore 545025",1.3926922,103.894026,Test7
"822 Woodlands Street 82, Singapore 730822",1.4419075,103.7894331,Test8
"727 Ang Mo Kio Avenue 6, Singapore 560727",1.3726373,103.8460838,Test9
"51 Bishan Street 13, Singapore 579799",1.3496322,103.8507726,Test10
"119 Aljunied Avenue 2, Singapore 380119",1.3198046,103.8865816,Test11
"1 Upper Aljunied Link, Singapore 367901",1.3350059,103.8812845,Test12
"333 Orchard Road, Singapore 238867",1.3022077,103.836443,Test13
"10 Choa Chu Kang Road, Singapore 689379",1.3793062,103.7592607,Test14
"525 Serangoon Road, Singapore 218160",1.314933,103.857628,Test15
"309 Choa Chu Kang Ave 4, Singapore 680309",1.3851376,103.7457408,Test16
"18 Cross Street, Singapore 048423",1.2834902,103.8469261,Test17
"396 Pasir Panjang Road, Singapore 118733",1.2915862,103.7711635,Test18
"10 Collyer Quay, Singapore 049315",1.2832329,103.8520207,Test19
"15 Beach Road, Singapore 190015",1.3034079,103.8633,Test20
"60 Eu Tong Sen Street, Singapore 059804",1.286551,103.844618,Test21
"163 Bukit Merah Central, Singapore 150163",1.2836661,103.8169734,Test22
"750 Chai Chee Road, Singapore 469000",1.3237034,103.9221915,Test23
"2 Ang Mo Kio Drive, ITE College Central, Singapore 567720",1.3775404,103.8564136,Test24
"149 Rochor Road, #03-12 Fu Lu Shou Complex, Singapore 188425",1.3014678,103.8544724,Test25
"506 Tampines Central 1, Singapore 520506",1.355917,103.945907,Test26
"20 Havelock Road, Singapore 059765",1.2881973,103.8431955,Test27
"165 Bukit Merah Central, Singapore 150165",1.2831384,103.8167485,Test28
"37 Jalan Rumah Tinggi, Singapore 150037",1.2893178,103.8091736,Test29
"727 Clementi West Street 2, Singapore 120727",1.3044121,103.7638077,Test30
"10 Palm Avenue, Siglap Post Office, Singapore 456532",1.313395,103.930095,Test31
"1 Maritime Square, #03-22 Harbourfront Centre, Singapore 099253",1.2642101,103.8202355,Test32
"70 Macpherson Road, Singapore 348475",1.3285071,103.8713444,Test33
"165 Bukit Merah Central, Singapore 150165",1.2831384,103.8167485,Test34
"492 Jurong West Street 41, Singapore 640492",1.3499953,103.7249313,Test35
"134 Pasir Ris Street 11, Singapore 510134",1.3651088,103.9563895,Test36
"55 Newton Road, Singapore 307987",1.3195135,103.8421405,Test37
"1 Killiney Road, Singapore 239518",1.3001705,103.8406847,Test38
"727 Ang Mo Kio Avenue 6, Singapore 560727",1.3726373,103.8460838,Test39
"48 Toh Guan Road East, Singapore 608586",1.3377579,103.7528581,Test40
"336 Jurong East Ave 1, Singapore 600336",1.3505841,103.7313151,Test41
"1 Brooke Road, Singapore 429979",1.3042056,103.9038635,Test42
"9 Raffles Boulevard, Singapore 038985",1.2927292,103.859401,Test43
"10 Changi South Street 2, Singapore 486596",1.332405,103.962225,Test44
"304 Orchard Road, Singapore 238863",1.3045755,103.8340344,Test45
"10 Pandan Crescent, Singapore 128466",1.3055801,103.7593168,Test46
"21 Mount Elizabeth, York Hotel, Singapore 228516",1.3073054,103.835584,Test47
"203 Toa Payoh North, Singapore 310203",1.3420685,103.8491162,Test48
"1 Bukit Batok Central Link, #05-09 West Mall, Singapore 658713",1.3500715,103.7493232,Test49
